n,cogram_point
960,1374.17321331273
961,1375.33932411578
962,1376.50525146476
963,1377.67099560153
964,1378.83655676733
965,1380.00193520286
966,1381.16713114823
967,1382.332144843
968,1383.49697652615
969,1384.66162643609
970,1385.82609481067
971,1386.99038188721
972,1388.15448790241
973,1389.31841309248
974,1390.48215769302
975,1391.64572193911
976,1392.80910606526
977,1393.97231030545
978,1395.13533489308
979,1396.29818006104
980,1397.46084604166
981,1398.62333306671
982,1399.78564136746
983,1400.9477711746
984,1402.10972271832
985,1403.27149622823
986,1404.43309193346
987,1405.59451006257
988,1406.75575084359
989,1407.91681450406
990,1409.07770127094
991,1410.23841137072
992,1411.39894502932
993,1412.55930247217
994,1413.71948392416
995,1414.87948960969
996,1416.03931975262
997,1417.1989745763
998,1418.35845430357
999,1419.51775915676
1000,1420.6768893577
1001,1421.83584512769
1002,1422.99462668755
1003,1424.15323425759
1004,1425.31166805759
1005,1426.46992830687
1006,1427.62801522423
1007,1428.78592902796
1008,1429.94366993589
1009,1431.10123816532
1010,1432.25863393309
1011,1433.41585745551
1012,1434.57290894844
1013,1435.72978862722
1014,1436.88649670673
1015,1438.04303340135
1016,1439.19939892498
1017,1440.35559349104
1018,1441.51161731247
1019,1442.66747060174
1020,1443.82315357082
1021,1444.97866643123
1022,1446.134009394
1023,1447.2891826697
1024,1448.44418646842
1025,1449.59902099978
1026,1450.75368647295
1027,1451.90818309661
1028,1453.06251107898
1029,1454.21667062784
1030,1455.37066195047
1031,1456.52448525373
1032,1457.678140744
1033,1458.8316286272
1034,1459.9849491088
1035,1461.13810239381
1036,1462.2910886868
1037,1463.44390819188
1038,1464.59656111271
1039,1465.74904765251
1040,1466.90136801403
1041,1468.0535223996
1042,1469.2055110111
1043,1470.35733404995
1044,1471.50899171715
1045,1472.66048421325
1046,1473.81181173837
1047,1474.96297449217
1048,1476.11397267389
1049,1477.26480648235
1050,1478.41547611591
1051,1479.56598177251
1052,1480.71632364966
1053,1481.86650194445
1054,1483.01651685351
1055,1484.16636857309
1056,1485.31605729898
1057,1486.46558322656
1058,1487.61494655078
1059,1488.76414746617
1060,1489.91318616686
1061,1491.06206284653
1062,1492.21077769846
1063,1493.35933091552
1064,1494.50772269015
1065,1495.65595321438
1066,1496.80402267984
1067,1497.95193127774
1068,1499.09967919888
1069,1500.24726663365
1070,1501.39469377205
1071,1502.54196080364
1072,1503.68906791761
1073,1504.83601530273
1074,1505.98280314737
1075,1507.1294316395
1076,1508.27590096669
1077,1509.42221131612
1078,1510.56836287455
1079,1511.71435582836
1080,1512.86019036355
1081,1514.0058666657
1082,1515.15138492001
1083,1516.29674531129
1084,1517.44194802395
1085,1518.58699324203
1086,1519.73188114917
1087,1520.87661192861
1088,1522.02118576324
1089,1523.16560283553
1090,1524.3098633276
1091,1525.45396742115
1092,1526.59791529754
1093,1527.74170713772
1094,1528.88534312227
1095,1530.02882343141
1096,1531.17214824496
1097,1532.31531774238
1098,1533.45833210275
1099,1534.60119150477
1100,1535.74389612679
1101,1536.88644614678
1102,1538.02884174232
1103,1539.17108309065
1104,1540.31317036863
1105,1541.45510375276
1106,1542.59688341918
1107,1543.73850954364
1108,1544.87998230155
1109,1546.02130186796
1110,1547.16246841756
1111,1548.30348212465
1112,1549.44434316322
1113,1550.58505170686
1114,1551.72560792883
1115,1552.86601200202
1116,1554.00626409898
1117,1555.1463643919
1118,1556.28631305261
1119,1557.4261102526
1120,1558.56575616301
1121,1559.70525095462
1122,1560.84459479786
1123,1561.98378786284
1124,1563.1228303193
1125,1564.26172233664
1126,1565.40046408391
1127,1566.53905572984
1128,1567.67749744279
1129,1568.8157893908
1130,1569.95393174155
1131,1571.0919246624
1132,1572.22976832037
1133,1573.36746288212
1134,1574.50500851402
1135,1575.64240538205
1136,1576.7796536519
1137,1577.9167534889
1138,1579.05370505807
1139,1580.19050852407
1140,1581.32716405126
1141,1582.46367180365
1142,1583.60003194493
1143,1584.73624463847
1144,1585.87231004729
1145,1587.00822833412
1146,1588.14399966133
1147,1589.27962419098
1148,1590.41510208482
1149,1591.55043350427
1150,1592.68561861041
1151,1593.82065756404
1152,1594.9555505256
1153,1596.09029765523
1154,1597.22489911277
1155,1598.35935505771
1156,1599.49366564925
1157,1600.62783104626
1158,1601.76185140731
1159,1602.89572689065
1160,1604.02945765422
1161,1605.16304385564
1162,1606.29648565224
1163,1607.42978320102
