n,gram_point
665,1020.26443904678
666,1021.4987245162
667,1022.73271711571
668,1023.96641740669
669,1025.19982594856
670,1026.43294329884
671,1027.66577001313
672,1028.89830664511
673,1030.13055374659
674,1031.36251186749
675,1032.59418155583
676,1033.8255633578
677,1035.05665781771
678,1036.28746547801
679,1037.51798687935
680,1038.7482225605
681,1039.97817305846
682,1041.20783890837
683,1042.43722064359
684,1043.66631879569
685,1044.89513389445
686,1046.12366646785
687,1047.35191704213
688,1048.57988614176
689,1049.80757428944
690,1051.03498200616
691,1052.26210981115
692,1053.48895822191
693,1054.71552775424
694,1055.94181892221
695,1057.1678322382
696,1058.3935682129
697,1059.61902735529
698,1060.8442101727
699,1062.06911717077
700,1063.2937488535
701,1064.51810572319
702,1065.74218828055
703,1066.96599702462
704,1068.18953245279
705,1069.41279506088
706,1070.63578534304
707,1071.85850379185
708,1073.08095089826
709,1074.30312715165
710,1075.5250330398
711,1076.74666904892
712,1077.96803566363
713,1079.18913336702
714,1080.40996264059
715,1081.63052396431
716,1082.8508178166
717,1084.07084467434
718,1085.2906050129
719,1086.51009930612
720,1087.72932802631
721,1088.94829164429
722,1090.16699062938
